Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier
1979,2015-03-25,Artoo,Unknown,Unknown,Unknown,"Accio Veture Labs, Riata Capital",Private Equity,500.0,44000.0,Series A,Other
1980,2015-03-25,Fxkart.com,Unknown,Unknown,Unknown,"Dr Mushtaq Shah, Dr Faraz Naqvi",Seed Funding,2000.0,176000.0,No Remark,Other
1981,2015-03-25,OYO Rooms,Unknown,Unknown,Unknown,"Greeoaks capital, Sequoia Capital, LightSpeed Vetures",Private Equity,25000.0,2200000.0,Series A,Other
1982,2015-03-26,Roposo.com,Unknown,Unknown,Unknown,"Tiger Global Maagemet, Idia Quotiet, Biy Basal",Private Equity,5000.0,440000.0,Series A,Other
1983,2015-03-26,Teewe,Unknown,Unknown,Unknown,"Sequoia Capital, Idia Quotiet",Seed Funding,1750.0,154000.0,No Remark,Other
1984,2015-03-27,Urjas,Unknown,Unknown,Unknown,Solidarity Veture Capital & others,Seed Funding,100.0,8800.0,No Remark,Other
1985,2015-03-27,Chargein,Unknown,Unknown,Unknown,Pittie Group,Seed Funding,100.0,8800.0,No Remark,Other
1986,2015-03-28,Yogurt Labs,Unknown,Unknown,Unknown,"Nick Adams, Kira Bhat, Family Pot Ivestmets LLP",Seed Funding,115.0,10120.0,No Remark,Other
1987,2015-03-28,LimeRoad.com,Unknown,Unknown,Unknown,"Tiger Global, Matrix Parters, Lightspeed Veture Parters",Private Equity,30000.0,2640000.0,No Remark,Other
1988,2015-03-28,Team Indus,Unknown,Unknown,Unknown,"Nada Nilekai, Rajiv Mody, Ajai Chowdhary",Private Equity,1500.0,132000.0,Pre-Series A,Other
1989,2015-03-30,Arohan Financial Services,Unknown,Unknown,Unknown,Tao Capital,Private Equity,10000.0,880000.0,No Remark,Other
1990,2015-03-30,BillDesk,Unknown,Unknown,Unknown,TA Associates,Private Equity,75000.0,6600000.0,Incremental Capital,Other
1991,2015-03-31,Triphobo,Unknown,Unknown,Unknown,"Mayfield Vetures, Kalaari Capital",Private Equity,3000.0,264000.0,Series B (More Here),Other
1992,2015-03-31,Aryaka,Unknown,Unknown,Unknown,"Triity Vetures, IterWest Parters, Mohr Davidow Vetures, Presidio Vetures",Private Equity,16000.0,1408000.0,Series D,Other
1993,2015-03-31,Appsdaily,Unknown,Unknown,Unknown,"Zodius Capital, Ru-Net, Kalaari Capital, Qualcomm Vetures",Private Equity,16000.0,1408000.0,Series C,Other
1994,2015-02-02,Faaya,Unknown,Unknown,Unknown,Group of Agel Ivestors,Seed Funding,16.6,1460.8,At the 10 minute million event,Other
1995,2015-02-02,InstaBounce,Unknown,Unknown,Unknown,Group of Agel Ivestors,Seed Funding,16.6,1460.8,At the 10 minute million event,Other
1996,2015-02-02,Chloroplast Foods,Unknown,Unknown,Unknown,Group of Agel Ivestors,Seed Funding,16.6,1460.8,At the 10 minute million event,Other
1997,2015-02-02,Dealwithus,Unknown,Unknown,Unknown,Group of Agel Ivestors,Seed Funding,16.6,1460.8,At the 10 minute million event,Other
1998,2015-02-02,CleverSharks,Unknown,Unknown,Unknown,Group of Agel Ivestors,Seed Funding,16.6,1460.8,At the 10 minute million event,Other
1999,2015-02-02,Leaf,Unknown,Unknown,Unknown,Group of Agel Ivestors,Seed Funding,16.6,1460.8,At the 10 minute million event,Other
2000,2015-02-02,SmartPocket,Unknown,Unknown,Unknown,"Sol Primero, Rajiv Mehta",Seed Funding,250.0,22000.0,For mobile app,Other
2001,2015-02-02,Yumist,Unknown,Unknown,Unknown,Orios Veture Parter,Private Equity,1000.0,88000.0,No Remark,Other
2002,2015-02-02,FirstCry,Unknown,Unknown,Unknown,Valiat Capital Parters,Private Equity,26000.0,2288000.0,Series D,Other
2003,2015-02-02,HolaChef,Unknown,Unknown,Unknown,Idia Quotiet,Seed Funding,325.0,28600.0,No Remark,Other
2004,2015-02-03,Frsh.co.in,Unknown,Unknown,Unknown,"Idia Quotiet, Kae Capital",Seed Funding,518.0,45584.0,No Remark,Other
2005,2015-02-03,Manthan,Unknown,Unknown,Unknown,"Temasek, Norwest Veture Parters",Private Equity,60000.0,5280000.0,Series D,Other
