Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier
1,2020-01-09,BYJU\u2019S,E-Tech,E-learning,Bengaluru,Tiger Global Maagemet,Private Equity,200000.0,17600000.0,No Remark,Tier 1 India
2,2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehaa Growth Equity,Series C,8048.39,708258.32,No Remark,Tier 1 India
3,2020-01-09,Mamaearth,E-Commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital Idia,Series B,18358.86,1615579.68,No Remark,Tier 1 India
4,2020-01-02,https://www.wealthbucket.in/,Fintech,Online Investment,New Delhi,Viod Khatumal,Pre-Series A,3000.0,264000.0,No Remark,Tier 1 India
5,2020-01-02,Fashor,Fashion And Apparel,Embroiled Clothes For Women,Mumbai,Sprout Veture Parters,Seed Funding,1800.0,158400.0,No Remark,Tier 1 India
6,2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Vetures,Series A,9000.0,792000.0,No Remark,Tier 1 India
7,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,At Fiacial,Private Equity,150000.0,13200000.0,No Remark,Tier 1 India
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000.0,528000.0,No Remark,Tier 1 India
9,2019-12-06,CarDekho,E-Commerce,Automobile,Gurgaon,Pig A Global Voyager Fud,Series D,70000.0,6160000.0,No Remark,Tier 1 India
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Agels, Ravikath Reddy",Seed Funding,50000.0,4400000.0,No Remark,Tier 1 India
11,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Parters, Sprig Cater Ivestmet Ltd.",Series F,20000.0,1760000.0,No Remark,Tier 1 India
12,2019-12-17,Healthians,B2B-Focused Foodtech Startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Parters ad Neoplux",Series C,12000.0,1056000.0,No Remark,Tier 1 India
13,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fud,Series E,30000.0,2640000.0,No Remark,Tier 1 India
14,2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,Ukow,Debt Funding,5900.0,519200.0,No Remark,Tier 1 India
15,2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheg Ivestmet,Seed Funding,2000.0,176000.0,No Remark,Tier 1 India
16,2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Maipal Educatio ad Medical Group (MEMG),Seed Funding,50000.0,4400000.0,No Remark,Tier 1 India
17,2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBak Visio Fud,Series G,231000.0,20328000.0,No Remark,Tier 1 India
18,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000.0,13200000.0,No Remark,Tier 1 International
19,2019-11-14,Misters,Health & Wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Raiforest Vetures",Series B,486.0,42768.0,No Remark,Tier 1 India
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Edtech,Elearning,Gurgaon,"Prime Veture Parters, LetsVeture, PS1 Veture ad GlobalLogic co-fouder Rajul Garg",Seed Funding,1500.0,132000.0,No Remark,Tier 1 India
21,2019-11-18,Healthians,Health & Wellness,Healthcare services,Gurgaon,"DG Daiwa Vetures, DG Icubatio",Series B,12000.0,1056000.0,No Remark,Tier 1 India
22,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000.0,2288000.0,No Remark,Tier 1 India
23,2019-11-20,Aye Finance,Fintech,Financial Services To MSMEs,Gurgaon,FiTech,Debt Funding,17411.26,1532190.88,No Remark,Tier 1 India
24,2019-11-12,SuperGaming,Video Games,Social gaming platform,Pune,Dream Icubator,Seed Funding,1300.0,114400.0,No Remark,Tier 1 India
25,2019-11-20,Clumio,Saas,Recovery software,San Jose,"Altimeter Capital, Sutter Hill Vetures",Series C,135000.0,11880000.0,No Remark,Tier 1 International
26,2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed Funding,300.0,26400.0,No Remark,Tier 2/3 India
27,2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,New Delhi,Amour Ifrastructure,Seed Funding,220000.0,19360000.0,No Remark,Tier 1 India
28,2019-11-18,Medikabazaar,Health & Wellness,B2B platform for medical supplies,Mumbai,"Ackermas & va Haare, HealthQuad, Rebright Parters, Toppa Pritig",Series B,15800.0,1390400.0,No Remark,Tier 1 India
29,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Parters, Stellaris Veture Parters, Kalaari Capital",Series B,283000.0,24904000.0,No Remark,Tier 2/3 India
30,2019-11-19,Furtados School of Music,Edtech,Music Education,Tulangan,IAN Fud ad DSG Cosumer Parters,Unknown,200000.0,17600000.0,No Remark,Tier 2/3 India
31,2019-11-25,Paytm,Fintech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000.0,88000000.0,No Remark,Tier 1 India
32,2019-10-04,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000.0,3960000.0,No Remark,Tier 1 India
33,2019-10-02,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000.0,51480000.0,No Remark,Tier 1 India
34,2019-09-05,FPL Technologies,Fintech,Financial Services,Pune,"Matrix Parters Idia, Sequoia Idia",Maiden Round,4500.0,396000.0,No Remark,Tier 1 India
35,2019-09-04,Cashflo,Fintech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Parters,Series A,3300.0,290400.0,No Remark,Tier 1 India
36,2019-09-04,Digital F5,Advertising Marketing,Digital marketing firm,Mumbai,TIW Private Equity,Private Equity,6000.0,528000.0,No Remark,Tier 1 India
37,2019-09-04,3rdFlix,Saas,Education Technology,Hyderabad,Exfiity Veture Parters,Pre-Series A,5000.0,440000.0,No Remark,Tier 1 India
38,2019-09-04,75F,Iot,Building automation system,Burnsville,Breakthrough Eergy Vetures,Series A,18000.0,1584000.0,No Remark,Tier 1 International
39,2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Ediya Parters,Seed Funding,1000.0,88000.0,No Remark,Tier 1 India
40,2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Parters,Series A,10000.0,880000.0,No Remark,Tier 1 India
41,2019-09-04,GOQii,Health & Wellness,Wearable Fitness Bands,Menlo Park,Beett Colema ad Compay Ltd (BCCL),Series C,450000.0,39600000.0,No Remark,Tier 1 International
42,2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"Idia Quotiet, Axilor Vetures",Series A,5000.0,440000.0,No Remark,Tier 1 India
43,2019-08-01,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG Idia Mobility Holdigs LLC,Series C,20000.0,1760000.0,No Remark,Tier 1 India
44,2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia Idia,Series A,5000.0,440000.0,No Remark,Tier 1 India
45,2019-08-01,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,Ukow,Seed Funding,1600.0,140800.0,No Remark,Tier 1 India
46,2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Biy Basal",Single Venture,140000.0,12320000.0,No Remark,Tier 1 India
47,2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pie Labs Pte Ltd,Corporate Round,38080.0,3351040.0,No Remark,Tier 1 India
48,2019-08-12,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,125000.0,11000000.0,No Remark,Tier 1 India
49,2019-08-13,Cars24,E-Commerce,Car Retail,Gurgaon,MS Dhoi,Series D,11000.0,968000.0,No Remark,Tier 1 India
50,2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Parters,Series C,51000.0,4488000.0,No Remark,Tier 1 International
51,2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Iovate,Series B,37000.0,3256000.0,No Remark,Tier 1 International
52,2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (fouder, FreshMeu), Ravee Sastry (co-fouder, Mytra) ad Mitesh Shah (fiace chief, BookMyShow)",Seed Funding,500.0,44000.0,No Remark,Tier 1 India
53,2019-08-23,Tala,Fintech,Digital Lending Platform,Santa Monica,RPS Vetures,Series D,110000.0,9680000.0,No Remark,Tier 1 International
54,2019-08-22,INDwealth,Fintech,Wealth Management,Gurgaon,Tiger Global Maagemet,Venture Round,15000.0,1320000.0,No Remark,Tier 1 India
55,2019-08-21,HungerBox,Food And Beverage,B2B Foodtech,Bengaluru,Oe97 Commuicatios Ltd.,Series C,6590.0,579920.0,No Remark,Tier 1 India
56,2019-08-23,AdmitKard,Edtech,University Admissions,Noida,Growth DNA,Seed Funding,1000.0,88000.0,No Remark,Tier 1 India
57,2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbak Visio Fud,Series F,70000.0,6160000.0,No Remark,Tier 1 India
58,2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000.0,343200000.0,No Remark,Tier 1 India
59,2019-07-02,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000.0,1672000.0,No Remark,Tier 1 India
60,2019-07-02,Atlan,Information Technology,Big Data,Singapore,WaterBridge Vetures,Pre-Series A,2500.0,220000.0,No Remark,Tier 1 International
61,2019-07-01,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145.0,12760.0,No Remark,Tier 1 India
62,2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,"DIG Ivestmet Ab, Deshe Holdigs, Samih Touka ad Hussam Khoury",Series J,1000.0,88000.0,No Remark,Tier 2/3 India
63,2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Parters,Series C,38080.0,3351040.0,No Remark,Tier 2/3 India
64,2019-07-04,Daalchini Technologies,Food And Beverage,Digital Vending Machine,New Delhi,Artha Veture,Seed Funding,500.0,44000.0,No Remark,Tier 1 India
65,2019-07-10,"""BYJU\\\\'S""",Edtech,Education,Bengaluru,Qatar Ivestmet Authority,Private Equity,150000.0,13200000.0,No Remark,Tier 1 India
66,2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Maagemet, Sequoia Capital Idia, Tiger Global Maagemet",Series D,60000.0,5280000.0,No Remark,Tier 1 International
67,2019-07-10,Ezyhaul,Technology,Logistics,Singapore,Udisclosed,Series B,16000.0,1408000.0,No Remark,Tier 1 International
68,2019-07-10,Indus OS,Technology,Smartphone Operating System,Andheri,Vetureast,Series B,5750.0,506000.0,No Remark,Tier 2/3 India
69,2019-07-10,HealthAssure,Health & Wellness,Primary care medical network,Mumbai,Blume Vetures,Series A,2500.0,220000.0,No Remark,Tier 1 India
70,2019-07-09,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Biy Basal,Series A,1000.0,88000.0,No Remark,Tier 1 India
71,2019-07-08,Board Infinity,Edtech,Full-stack career platform,Chembur,Multiple Agel Ivestors,Angel,319.6,28124.8,No Remark,Tier 2/3 India
72,2019-06-05,NoBroker,E-Commerce,Real Estate,Bengaluru,Geeral Atlatic,Series C,51000.0,4488000.0,No Remark,Tier 1 India
73,2019-06-04,Bira91,Food And Beverage,Brewery,New Delhi,Aicut Capital,Debt Funding,10000.0,880000.0,No Remark,Tier 1 India
74,2019-06-03,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldma Sachs, Accel Parters ad Qualcomm",Unknown,4889.98,430318.24,No Remark,Tier 1 India
75,2019-06-03,Avail Finance,Finance,FinTech,Bengaluru,Matrix Parters,Series A,9000.0,792000.0,No Remark,Tier 1 India
76,2019-06-04,BharatPe,Finance,FinTech,New Delhi,Isight Parters,Series B,75000.0,6600000.0,No Remark,Tier 1 India
77,2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,"Trito Ivestmet Advisors, Pidilite Idustries director Ajay Parekh",Pre-Series A,26000.0,2288000.0,No Remark,Tier 1 India
78,2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Vetures ad RTP Global,Pre-Series A,2500.0,220000.0,No Remark,Tier 1 India
79,2019-06-06,Sistema.bio,Agritech,Hybrid Reactor Biodigestor,Nairobi,"Shell Foudatio, DILA CAPITAL, Egie RDE Fud, EcoEterprise Fud, EDFIMC (ElectriFI), Edeavor Catalyst Fud, CoCapital, Triodos, Alpha Mudi, ad Ledahad",Unknown,2739.03,241034.64,No Remark,Other
80,2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fud,Series A,26000.0,2288000.0,No Remark,Tier 1 India
81,2019-06-06,Pratilipi,Digital Media,E-Books,Bengaluru,Qimig Veture Parters,Series B,15109.5,1329636.0,No Remark,Tier 1 India
82,2019-06-10,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Veture Parters,Seed Funding,430.2,37857.6,No Remark,Tier 1 India
83,2019-06-10,OkCredit,Fintech,Financial Services,Haryana,Tiger Global Maagemet,Series A,15500.0,1364000.0,No Remark,Other
84,2019-06-06,Biz2Credit,Fintech,Online Lending Platform,New York,WestBridge Capital,Series B,52000.0,4576000.0,No Remark,Tier 1 International
85,2019-06-08,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584.0,315392.0,No Remark,Other
86,2019-06-04,Leegality,Services,Digital Documentation,Mumbai,Mumbai Agels,Series A,3400.0,299200.0,No Remark,Tier 1 India
87,2019-05-06,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Parters,Venture - Series Unknown,868.6,76436.8,No Remark,Tier 1 India
88,2019-05-01,BlackBuck,Transport,Logistics,Bengaluru,"Goldma Sachs Ivestmet Parters ad Silico Valley-based Accel, Welligto, Sequoia Capital, B Capital, LightStreet, Sads Capital ad Iteratioal Fiace Corporatio,",Series D,150000.0,13200000.0,No Remark,Tier 1 India
89,2019-05-02,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Maagemet,Series C,50000.0,4400000.0,No Remark,Tier 1 India
90,2019-05-28,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachi Basal,Series C,51000.0,4488000.0,No Remark,Tier 1 India
91,2019-05-28,FreshVnF,Agritech,Fresh Agriculture Produces,Mumbai,Equaimity Vetures,Seed Funding,140000.0,12320000.0,No Remark,Tier 1 India
92,2019-05-30,GlowRoad,E-Commerce,Retail,Bengaluru,"Korea Ivestmet Parters, Vertex Vetures",Series B,11500.0,1012000.0,No Remark,Tier 1 India
93,2019-05-31,Bira91,Food And Beverage,Brewery,New Delhi,Sixth Sese Vetures,Series B,5600.0,492800.0,No Remark,Tier 1 India
94,2019-04-16,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000.0,3960000.0,No Remark,Tier 1 India
95,2019-04-12,Medlife,E-Commerce,Online Medicine,Bengaluru,Prasid Uo Family Trust,Private Equity,17000.0,1496000.0,No Remark,Tier 1 India
96,2019-04-10,Kabadiwala,E-Commerce,Waste Management,Bhopal,"Uilever, Beehive Capital Advisor, ABCOM Ivestmets, Parekh Marie Trasport,",Private Equity,430.66,37898.08,No Remark,Tier 2/3 India
97,2019-04-13,Tripoto,Social Media,Travel,New Delhi,"Orchid Idia, Horbill Orchid Idia Fud, Chiratae Vetures (formerly IDG Vetures), 3oe4 Capital, Lasmer NV",Series B,3591.38,316041.44,No Remark,Tier 1 India
98,2019-04-12,Azah,Health & Wellness,Organic wellness,Gurgaon,Uamed agel ivestors,Seed Funding,200.0,17600.0,No Remark,Tier 1 India
99,2019-04-11,Setu,Fintech,Banking,Bengaluru,Lightspeed Idia Parters,Seed Funding,3500.0,308000.0,No Remark,Tier 1 India
100,2019-04-10,Toppr,Edtech,E-learning,Mumbai,Milestoe,Debt Funding,6320.82,556232.16,No Remark,Tier 1 India
101,2019-04-10,Craftsvilla,E-Commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443.5,215028.0,No Remark,Tier 1 India
102,2019-04-10,Unacademy,Edtech,E-learning,Bengaluru,Kalya Krishamurthy,Seed/ Angel Funding,307.0,27016.0,No Remark,Tier 1 India
103,2019-04-11,CleverTap,Saas,Mobile analytics and marketing,Mumbai,"Sequoia Idia, Tiger Global Maagemet, Accel Parters",Series B,26000.0,2288000.0,No Remark,Tier 1 India
104,2019-04-19,My Healthcare,E-Commerce,Software Solutions,Bengaluru,Sixth Sese Vetures,Series A,3000.0,264000.0,No Remark,Tier 1 India
105,2019-04-19,KrazyBee,E-Commerce,Lending Platform,Bengaluru,"BAC Acquisitios, Uifi AIF, BRD Securities, Norther R Capital",Debt Funding,14342.0,1262096.0,No Remark,Tier 1 India
106,2019-04-17,Shuttl,Transportation,Bus Aggregation,Gurgaon,New Atlatic Vetures,Venture Round,5000.0,440000.0,No Remark,Tier 1 India
107,2019-04-17,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Biy Basal",Series A,3000.0,264000.0,No Remark,Tier 1 India
108,2019-02-08,Zilingo,E-Commerce,Fashion & Apparel,India,"Sequoia Capital ad Temasek Holdigs, EDBI, Burda Pricipal Ivestmets, ad Sofia",Series D,226000.0,19888000.0,No Remark,Other
109,2019-02-13,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVeture, PitchRight Veture, 91SprigBoard, AL Nour Iteratioal Holdigs ad Mark V Ivestmets",Series A,600.0,52800.0,No Remark,Tier 1 India
110,2018-02-14,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxig,Equity Funding,100000.0,8800000.0,No Remark,Tier 1 India
111,2019-01-03,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia Idia, Hillhouse Capital, Alphabetxe2x80x99s growth ivestmet arm Capital G ad Axis Bak",Series C,110000.0,9680000.0,No Remark,Tier 2/3 India
112,2019-01-04,Vyome Therapeutics Inc.,Health & Wellness,Specialty pharmaceutical,India,"Iro Pillar, Perceptive Advisors, Romulus Capital ad Kalaari Capital",Series D,22000.0,1936000.0,No Remark,Other
113,2019-01-04,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch govermet fud",Debt-Funding,5000.0,440000.0,No Remark,Tier 1 India
114,2018-12-04,Manch,Social Media,Hyperlocal Content,New Delhi,Stellaris Veture Parters,Seed Funding,700.0,61600.0,No Remark,Tier 1 India
115,2018-12-01,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital ad Vy Capital.,Series D,50000.0,4400000.0,No Remark,Tier 1 India
116,2018-12-02,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Idividual Ivestors,Pre-Series A,800.0,70400.0,No Remark,Tier 1 India
117,2018-12-02,Career Anna,Edtech,"Video-based certification, trainings",Gurgaon,Idividual Ivestors,Pre-Series A,572.0,50336.0,No Remark,Tier 1 India
118,2018-12-04,Nagpur Wholesale,E-Commerce,eCommerce,Nagpur,Omphalos Vetures Idia LLP,Seed Funding,143.0,12584.0,No Remark,Tier 2/3 India
119,2018-12-06,ShopKirana,B2B,eCommerce,Indore,"Ifo Edge, AET Fud, Akatsuki ad Icubate Fud from Japa ad Better Capital AgelList sydicate.",Seed Funding,2000.0,176000.0,No Remark,Tier 2/3 India
120,2018-12-06,BuildSupply,Saas Ecommerce,"Real Estate, ERP",Gurgaon,"Veture Highway, GREE Vetures, Space Matrix, Idividual Ivestors",Series A,3500.0,308000.0,No Remark,Tier 1 India
121,2018-11-01,GoDesi,Food And Beverage,Regional Flavours,Bengaluru,Lead Agels Network,Seed/ Angel Funding,139.0,12232.0,No Remark,Tier 1 India
122,2018-11-03,Veritas Finance Ltd.,Nbfc,MSME Finance,Chennai,"Norwest Veture Parters, CDC Group, the UKxe2x80x99s Developmet Fiace Istitutio ad P Suredra Pai",Series D,27799.0,2446312.0,No Remark,Tier 1 India
123,2018-11-06,Meesho,E-Commerce,Social Commerce,Bengaluru,"Shuwei Capital, DST Parters ad RPS Vetures",Series C,50000.0,4400000.0,No Remark,Tier 1 India
124,2018-11-08,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Udisclosed,Series A,500.0,44000.0,No Remark,Tier 1 India
125,2018-11-08,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Ivestmets, Sigapore",Equity Funding,1000.0,88000.0,No Remark,Tier 2/3 India
126,2018-11-12,Blackbuck,Food Tech,POS For Online Ordering,New York,Tiger Global,Series A,1000.0,88000.0,No Remark,Tier 1 International
127,2018-11-12,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fud,Series B,1300.0,114400.0,No Remark,Tier 1 India
128,2018-11-13,DriveU,Transport,On-Demand Drivers,Bengaluru,Steves Creek Vetures,Mezzanine,1000.0,88000.0,No Remark,Tier 1 India
129,2018-11-14,CleanseCar,Services,Car Wash,Bengaluru,Veture Catalysts,Seed/ Angel Funding,500.0,44000.0,No Remark,Tier 1 India
130,2018-11-19,Automation Anywhere,Automation,Robotics,California,SoftBak Visio Fud,Series B,300000.0,26400000.0,No Remark,Other
131,2018-11-20,HealthifyMe,Health & Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fud, VC Samsug NEXT, Chiratae Vetures, Ivetus Capital, Blume Vetures ad Iove Capital.",Series B,6000.0,528000.0,No Remark,Tier 1 India
132,2018-11-21,Genius Corner,Edtech,Personalized Learning,Noida,Idividual ivestors,Seed Funding,278.0,24464.0,No Remark,Tier 1 India
133,2018-11-22,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Isurace ad Auity Associatio (TIAA),Equity Based Funding,31000.0,2728000.0,No Remark,Tier 1 India
134,2018-11-23,Signzy,Fintech,Digital Onboarding Solution,Mumbai,"Stellaris Veture Parters ad Kalaari Capital, Raja Aada from Google, Dilip Khadwelwal from SAP Labs Idia, ad Amrish Rau from PayU Idia",Series A,3400.0,299200.0,No Remark,Tier 1 India
135,2018-11-24,Engineer.ai,Software,AI Platform,India,"Lakestar ad Jugle Vetures, Softbakxe2x80x99s DeepCore.",Series A,29500.0,2596000.0,No Remark,Other
136,2018-11-25,InCred Finance,Finance,SME Lending,India,"Parago Parters, Idividual Ivestors",Private Equity,42000.0,3696000.0,No Remark,Other
137,2018-11-25,Roposo,Social Media,Video Sharing,New Delhi,Bertelsma Idia Ivestmets,Series B,1700.0,149600.0,No Remark,Tier 1 India
138,2018-10-02,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspia ad Hivos-Triodos Fud",Seed/ Angel Funding,11000.0,968000.0,No Remark,Tier 1 India
139,2018-10-04,Grover Zampa,Food,Wine,Mumbai,Ravi Viswaatha,Private Equity,8200.0,721600.0,No Remark,Tier 1 India
140,2018-10-05,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,3000.0,264000.0,No Remark,Tier 1 India
141,2018-10-11,Innov8,Real Estate,Co-Working,New Delhi,Credece Family Office,Pre-Series A,4000.0,352000.0,No Remark,Tier 1 India
142,2018-10-12,Blackbuck,Logistics,Largest Trucking Platform,Bengaluru,Sequoia Capital Idia,Private Equity,14680.0,1291840.0,No Remark,Tier 1 India
143,2018-10-12,LetsTransport,Logistics,Book Trucks Online,Bengaluru,Fosu Iteratioal,Series C,12000.0,1056000.0,No Remark,Tier 1 India
144,2018-09-01,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fud, Sistema JSFC ad Tacam Ivestmet",Private Equity,35000.0,3080000.0,No Remark,Tier 1 India
145,2018-09-03,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global ad Lightspeed Veture Partersxe2x80x99 global fud.,Private Equity,225000.0,19800000.0,No Remark,Tier 1 India
146,2018-09-03,Daily hunt,Consumer Internet,News and ebooks Mobile App\\\\xc2\\\\xa0,Bengaluru,Falco Edge,Private Equity,6390.0,562320.0,No Remark,Tier 1 India
147,2018-09-04,3HCare,Health & Wellness,Healthcare Service Provider,New Delhi,Ukow,Seed / Angel Funding,1000.0,88000.0,No Remark,Tier 1 India
148,2018-09-05,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200.0,13833600.0,No Remark,Tier 1 India
149,2018-09-06,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tecet, Kalaari Capital ad Private equity firm Multiples Alterate Asset Maagemet",Private Equity,100000.0,8800000.0,No Remark,Tier 1 India
150,2018-09-10,MamaEarth,Health & Wellness,Online Marketplace For Mother and Babycare Products,Gurgaon,Stellaris Vetures & Others,Private Equity,4000.0,352000.0,No Remark,Tier 1 India
151,2018-09-11,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdigs Group, Iogy, xc3x98rstead, ad Teaska",Private Equity,32000.0,2816000.0,No Remark,Tier 1 India
152,2018-09-11,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,IoVe Capital,Debt Funding,5500.0,484000.0,No Remark,Tier 1 India
153,2018-09-11,Upwards,Fintech,Online Micro Lending Marketplace,Mumbai,"Shuwei Capital,Quotiet, Mayfield & Others",Private Equity,5000.0,440000.0,No Remark,Tier 1 India
154,2018-09-12,Kissht,Fintech,Online lending Platform,Mumbai,"Vertex Vetures Southeast Asia (SEA) ad Idia ad Sistema Asia Fud, Fosu RZ Capital, Vetureast, ad Ediya Parters.",Private Equity,30000.0,2640000.0,No Remark,Tier 1 India
155,2018-08-01,dishq,Food Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliace, The Sydicate Fud, Sve Hese, Zeroth ad Artesia Veture Parters",Seed/ Angel Funding,400.0,35200.0,No Remark,Tier 1 India
156,2018-08-02,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi ad Sequoia Capital Idia,Private Equity,7000.0,616000.0,No Remark,Tier 1 India
157,2018-08-03,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurgaon,Y Combiator,Private Equity,120.0,10560.0,No Remark,Tier 1 India
158,2018-08-07,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Ukow,Seed/ Angel Funding,1000.0,88000.0,No Remark,Tier 1 India
159,2018-08-07,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fug Strategic Holdigs,Private Equity,35000.0,3080000.0,No Remark,Tier 1 India
160,2018-08-07,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurgaon,MakeMyTrip Limited,Private Equity,10000.0,880000.0,No Remark,Tier 1 India
161,2018-08-08,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Vetures,Seed/ Angel Funding,4000.0,352000.0,No Remark,Tier 1 India
162,2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital Idia Advisors, Accel Parters ad G Raghuada",Private Equity,12200.0,1073600.0,No Remark,Tier 1 India
163,2018-08-08,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,66000.0,5808000.0,No Remark,Tier 1 India
