Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier,No Of Investors,Success
581,07-06-2017,Ziploan,Consumer Internet,Online lending platform,New Delhi,WaterBridge Vetures,Seed Funding,650,57200,No Remark,Tier 1 India,1,0
582,07-06-2017,Growfitter,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding,600,52800,No Remark,Tier 1 India,1,0
583,08-06-2017,Stratfit,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Cosultig Limited,Seed Funding,232,20416,No Remark,Tier 1 India,1,0
584,08-06-2017,Multiplier Solutions,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Veture Parters,Private Equity,1500,132000,No Remark,Tier 1 India,1,1
585,08-06-2017,Abi Health,Technology,Unified Digital Health Platform,Bengaluru,Norwest Veture Parters,Private Equity,1500,132000,No Remark,Tier 1 India,1,1
586,08-06-2017,Stockal,Consumer Internet,App-based Investment advisory Services,Bengaluru,"Moha Alexader, R. Nataraja, Vikrat Varshey, Amit Siha",Seed Funding,350,30800,No Remark,Tier 1 India,4,0
587,09-06-2017,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawa Borle, Nirmal Sigh, Maish Prasad, Vieet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,300,26400,No Remark,Tier 1 India,6,0
588,09-06-2017,Esahai.In,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,250,22000,No Remark,Tier 1 India,2,0
589,12-06-2017,Lendingkart,Consumer Internet,Online Lending platform,Ahmedabad,Yes Bak,Debt Funding,7800,686400,No Remark,Tier 2/3 India,1,1
590,12-06-2017,Boxx.Ai,Technology,Artificial Intelligence,Bengaluru,"Uicor Idia Vetures, Veky Krishakumar, Suresh Shakar, Vivek Bhargava",Private Equity,500,44000,No Remark,Tier 1 India,4,0
591,12-06-2017,Peesafe.In,Health & Wellness,Hygiene care product manufacturer,New Delhi,"Veture Catalysts, Alfa Capital, Gree Shots Capital, Real Time Vetures",Private Equity,1000,88000,No Remark,Tier 1 India,4,0
592,12-06-2017,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha Idia Vetures, Sigularity Holdigs, Raja Aada, Girish Mathrubootham",Seed Funding,776,68288,No Remark,Tier 1 India,4,0
593,12-06-2017,Coverfox,Consumer Internet,Online insurance brokerage platform,Mumbai,Trasamerica,Private Equity,15000,1320000,No Remark,Tier 1 India,1,1
594,13-06-2017,Goodera,Technology,CSR and sustainability management platform,Bengaluru,"Nexus Veture Parters, Omidyar Network",Private Equity,5500,484000,No Remark,Tier 1 India,2,1
595,14-06-2017,Ola,Consumer Internet,Cab Aggregation App,Bengaluru,Teke Capital Maagemet LLC,Private Equity,50000,4400000,No Remark,Tier 1 India,1,1
596,14-06-2017,Mrneeds,Consumer Internet,Micro Food Delivery platform,Noida,udisclosed ivestors,Seed Funding,500,44000,No Remark,Tier 1 India,1,0
597,15-06-2017,Moneytap,Consumer Internet,Money Lending platform,Bengaluru,"Sequoia Idia, NEA, Prime Veture Parters",Private Equity,12300,1082400,No Remark,Tier 1 India,3,1
