Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier,No Of Investors,Success
1,09-01-2020,Byju'S,E-Tech,E-learning,Bengaluru,Tiger Global Maagemet,Private Equity,200000,17600000,No Remark,Tier 1 India,1,1
2,13-01-2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehaa Growth Equity,Series C,8048.39,708258.32,No Remark,Tier 1 India,1,1
3,09-01-2020,Mamaearth,E-Commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital Idia,Series B,18358.86,1615579.68,No Remark,Tier 1 India,1,1
4,02-01-2020,WealthBucket,Fintech,Online Investment,New Delhi,Viod Khatumal,Pre-Series A,3000,264000,No Remark,Tier 1 India,1,1
5,02-01-2020,Fashor,Fashion And Apparel,Embroiled Clothes For Women,Mumbai,Sprout Veture Parters,Seed Funding,1800,158400,No Remark,Tier 1 India,1,1
6,13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Vetures,Series A,9000,792000,No Remark,Tier 1 India,1,1
7,10-01-2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,At Fiacial,Private Equity,150000,13200000,No Remark,Tier 1 India,1,1
8,12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000,528000,No Remark,Tier 1 India,1,1
9,06-12-2019,Cardekho,E-Commerce,Automobile,Gurgaon,Pig A Global Voyager Fud,Series D,70000,6160000,No Remark,Tier 1 India,1,1
10,03-12-2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Agels, Ravikath Reddy",Seed Funding,50000,4400000,No Remark,Tier 1 India,2,1
11,13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Parters, Sprig Cater Ivestmet Ltd.",Series F,20000,1760000,No Remark,Tier 1 India,2,1
12,17-12-2019,Healthians,B2B-Focused Foodtech Startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Parters ad Neoplux",Series C,12000,1056000,No Remark,Tier 1 India,3,1
13,16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fud,Series E,30000,2640000,No Remark,Tier 1 India,1,1
14,16-12-2019,Incred,Finance,Non-Banking Financial Company,Mumbai,Ukow,Debt Funding,5900,519200,No Remark,Tier 1 India,1,1
15,14-12-2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheg Ivestmet,Seed Funding,2000,176000,No Remark,Tier 1 India,1,1
16,11-12-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Maipal Educatio ad Medical Group (MEMG),Seed Funding,50000,4400000,No Remark,Tier 1 India,1,1
17,20-12-2019,Lenskart.Com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBak Visio Fud,Series G,231000,20328000,No Remark,Tier 1 India,1,1
18,13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000,13200000,No Remark,Tier 1 International,3,1
19,14-11-2019,Misters,Health & Wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Raiforest Vetures",Series B,486,42768,No Remark,Tier 1 India,2,0
20,13-11-2019,Sunstone Eduversity Pvt. Ltd,Edtech,Elearning,Gurgaon,"Prime Veture Parters, LetsVeture, PS1 Veture ad GlobalLogic co-fouder Rajul Garg",Seed Funding,1500,132000,No Remark,Tier 1 India,3,1
21,18-11-2019,Healthians,Health & Wellness,Healthcare services,Gurgaon,"DG Daiwa Vetures, DG Icubatio",Series B,12000,1056000,No Remark,Tier 1 India,2,1
22,15-11-2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000,2288000,No Remark,Tier 1 India,1,1
23,20-11-2019,Aye Finance,Fintech,Financial Services To MSMEs,Gurgaon,FiTech,Debt Funding,17411.26,1532190.88,No Remark,Tier 1 India,1,1
24,12-11-2019,Supergaming,Video Games,Social gaming platform,Pune,Dream Icubator,Seed Funding,1300,114400,No Remark,Tier 1 India,1,1
25,20-11-2019,Clumio,Saas,Recovery software,San Jose,"Altimeter Capital, Sutter Hill Vetures",Series C,135000,11880000,No Remark,Tier 1 International,2,1
26,11-11-2019,Ebikego,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed Funding,300,26400,No Remark,Tier 2/3 India,1,0
27,19-11-2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,New Delhi,Amour Ifrastructure,Seed Funding,220000,19360000,No Remark,Tier 1 India,1,1
28,18-11-2019,Medikabazaar,Health & Wellness,B2B platform for medical supplies,Mumbai,"Ackermas & va Haare, HealthQuad, Rebright Parters, Toppa Pritig",Series B,15800,1390400,No Remark,Tier 1 India,4,1
29,15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Parters, Stellaris Veture Parters, Kalaari Capital",Series B,283000,24904000,No Remark,Tier 2/3 India,3,1
30,19-11-2019,Furtados School Of Music,Edtech,Music Education,Tulangan,IAN Fud ad DSG Cosumer Parters,Unknown,200000,17600000,No Remark,Tier 2/3 India,1,1
31,25-11-2019,Paytm,Fintech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000,88000000,No Remark,Tier 1 India,1,1
32,04-10-2019,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000,3960000,No Remark,Tier 1 India,1,1
33,02-10-2019,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,585000,51480000,No Remark,Tier 1 India,2,1
34,05-09-2019,Fpl Technologies,Fintech,Financial Services,Pune,"Matrix Parters Idia, Sequoia Idia",Maiden Round,4500,396000,No Remark,Tier 1 India,2,1
35,04-09-2019,Cashflo,Fintech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Parters,Series A,3300,290400,No Remark,Tier 1 India,1,1
36,04-09-2019,Digital F5,Advertising Marketing,Digital marketing firm,Mumbai,TIW Private Equity,Private Equity,6000,528000,No Remark,Tier 1 India,1,1
37,04-09-2019,3Rdflix,Saas,Education Technology,Hyderabad,Exfiity Veture Parters,Pre-Series A,5000,440000,No Remark,Tier 1 India,1,1
38,04-09-2019,75F,Iot,Building automation system,Burnsville,Breakthrough Eergy Vetures,Series A,18000,1584000,No Remark,Tier 1 International,1,1
39,04-09-2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Ediya Parters,Seed Funding,1000,88000,No Remark,Tier 1 India,1,0
40,04-09-2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Parters,Series A,10000,880000,No Remark,Tier 1 India,1,1
41,04-09-2019,Goqii,Health & Wellness,Wearable Fitness Bands,Menlo Park,Beett Colema ad Compay Ltd (BCCL),Series C,450000,39600000,No Remark,Tier 1 International,1,1
42,03-09-2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"Idia Quotiet, Axilor Vetures",Series A,5000,440000,No Remark,Tier 1 India,2,1
43,01-08-2019,Cardekho,E-Commerce,Automotive,Gurgaon,SC GG Idia Mobility Holdigs LLC,Series C,20000,1760000,No Remark,Tier 1 India,1,1
44,01-08-2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia Idia,Series A,5000,440000,No Remark,Tier 1 India,1,1
45,01-08-2019,Mypetrolpump,Retail,Fuel Delivery,Bengaluru,Ukow,Seed Funding,1600,140800,No Remark,Tier 1 India,1,1
46,01-08-2019,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Biy Basal",Single Venture,140000,12320000,No Remark,Tier 1 India,2,1
47,01-08-2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pie Labs Pte Ltd,Corporate Round,38080,3351040,No Remark,Tier 1 India,1,1
48,12-08-2019,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,125000,11000000,No Remark,Tier 1 India,1,1
49,13-08-2019,Cars24,E-Commerce,Car Retail,Gurgaon,MS Dhoi,Series D,11000,968000,No Remark,Tier 1 India,1,1
50,13-08-2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Parters,Series C,51000,4488000,No Remark,Tier 1 International,1,1
51,23-08-2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Iovate,Series B,37000,3256000,No Remark,Tier 1 International,1,1
52,23-08-2019,Lo Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (fouder, FreshMeu), Ravee Sastry (co-fouder, Mytra) ad Mitesh Shah (fiace chief, BookMyShow)",Seed Funding,500,44000,No Remark,Tier 1 India,5,0
53,23-08-2019,Tala,Fintech,Digital Lending Platform,Santa Monica,RPS Vetures,Series D,110000,9680000,No Remark,Tier 1 International,1,1
54,22-08-2019,Indwealth,Fintech,Wealth Management,Gurgaon,Tiger Global Maagemet,Venture Round,15000,1320000,No Remark,Tier 1 India,1,1
55,21-08-2019,Hungerbox,Food And Beverage,B2B Foodtech,Bengaluru,Oe97 Commuicatios Ltd.,Series C,6590,579920,No Remark,Tier 1 India,1,1
56,23-08-2019,Admitkard,Edtech,University Admissions,Noida,Growth DNA,Seed Funding,1000,88000,No Remark,Tier 1 India,1,0
57,19-08-2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbak Visio Fud,Series F,70000,6160000,No Remark,Tier 1 India,1,1
58,27-08-2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000,343200000,No Remark,Tier 1 India,1,1
59,02-07-2019,Renewbuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000,1672000,No Remark,Tier 1 India,2,1
60,02-07-2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Vetures,Pre-Series A,2500,220000,No Remark,Tier 1 International,1,1
61,01-07-2019,Wizcounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145,12760,No Remark,Tier 1 India,1,0
62,03-07-2019,Ola Cabs,Transport,Cabs,Kormangala,"DIG Ivestmet Ab, Deshe Holdigs, Samih Touka ad Hussam Khoury",Series J,1000,88000,No Remark,Tier 2/3 India,3,0
63,01-07-2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Parters,Series C,38080,3351040,No Remark,Tier 2/3 India,1,1
64,04-07-2019,Daalchini Technologies,Food And Beverage,Digital Vending Machine,New Delhi,Artha Veture,Seed Funding,500,44000,No Remark,Tier 1 India,1,0
65,10-07-2019,Byju'S,Edtech,Education,Bengaluru,Qatar Ivestmet Authority,Private Equity,150000,13200000,No Remark,Tier 1 India,1,1
66,11-07-2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Maagemet, Sequoia Capital Idia, Tiger Global Maagemet",Series D,60000,5280000,No Remark,Tier 1 International,3,1
67,10-07-2019,Ezyhaul,Technology,Logistics,Singapore,Udisclosed,Series B,16000,1408000,No Remark,Tier 1 International,1,1
68,10-07-2019,Indus Os,Technology,Smartphone Operating System,Andheri,Vetureast,Series B,5750,506000,No Remark,Tier 2/3 India,1,1
69,10-07-2019,Healthassure,Health & Wellness,Primary care medical network,Mumbai,Blume Vetures,Series A,2500,220000,No Remark,Tier 1 India,1,1
70,09-07-2019,House Of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Biy Basal,Series A,1000,88000,No Remark,Tier 1 India,1,0
71,08-07-2019,Board Infinity,Edtech,Full-stack career platform,Chembur,Multiple Agel Ivestors,Angel,319.6,28124.8,No Remark,Tier 2/3 India,1,0
72,05-06-2019,Nobroker,E-Commerce,Real Estate,Bengaluru,Geeral Atlatic,Series C,51000,4488000,No Remark,Tier 1 India,1,1
73,04-06-2019,Bira91,Food And Beverage,Brewery,New Delhi,Aicut Capital,Debt Funding,10000,880000,No Remark,Tier 1 India,1,1
74,03-06-2019,Fabhotels,E-Commerce,Hospitality,Gurgaon,"Goldma Sachs, Accel Parters ad Qualcomm",Unknown,4889.98,430318.24,No Remark,Tier 1 India,2,1
75,03-06-2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Parters,Series A,9000,792000,No Remark,Tier 1 India,1,1
76,04-06-2019,Bharatpe,Finance,FinTech,New Delhi,Isight Parters,Series B,75000,6600000,No Remark,Tier 1 India,1,1
77,04-06-2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Trito Ivestmet Advisors, Pidilite Idustries director Ajay Parekh",Pre-Series A,26000,2288000,No Remark,Tier 1 India,2,1
78,03-06-2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Vetures ad RTP Global,Pre-Series A,2500,220000,No Remark,Tier 1 India,1,1
79,06-06-2019,Sistema.Bio,Agritech,Hybrid Reactor Biodigestor,Nairobi,"Shell Foudatio, DILA CAPITAL, Egie RDE Fud, EcoEterprise Fud, EDFIMC (ElectriFI), Edeavor Catalyst Fud, CoCapital, Triodos, Alpha Mudi, ad Ledahad",Unknown,2739.03,241034.64,No Remark,Other,10,1
80,06-06-2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fud,Series A,26000,2288000,No Remark,Tier 1 India,1,1
81,06-06-2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qimig Veture Parters,Series B,15109.5,1329636,No Remark,Tier 1 India,1,1
82,10-06-2019,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Veture Parters,Seed Funding,430.2,37857.6,No Remark,Tier 1 India,1,0
83,10-06-2019,Okcredit,Fintech,Financial Services,Haryana,Tiger Global Maagemet,Series A,15500,1364000,No Remark,Other,1,1
84,06-06-2019,Biz2Credit,Fintech,Online Lending Platform,New York,WestBridge Capital,Series B,52000,4576000,No Remark,Tier 1 International,1,1
85,08-06-2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584,315392,No Remark,Other,1,1
86,04-06-2019,Leegality,Services,Digital Documentation,Mumbai,Mumbai Agels,Series A,3400,299200,No Remark,Tier 1 India,1,1
87,06-05-2019,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Parters,Venture - Series Unknown,868.6,76436.8,No Remark,Tier 1 India,1,0
88,01-05-2019,Blackbuck,Transport,Logistics,Bengaluru,"Goldma Sachs Ivestmet Parters ad Silico Valley-based Accel, Welligto, Sequoia Capital, B Capital, LightStreet, Sads Capital ad Iteratioal Fiace Corporatio,",Series D,150000,13200000,No Remark,Tier 1 India,6,1
89,02-05-2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Maagemet,Series C,50000,4400000,No Remark,Tier 1 India,1,1
90,28-05-2019,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachi Basal,Series C,51000,4488000,No Remark,Tier 1 India,1,1
91,28-05-2019,Freshvnf,Agritech,Fresh Agriculture Produces,Mumbai,Equaimity Vetures,Seed Funding,140000,12320000,No Remark,Tier 1 India,1,1
92,30-05-2019,Glowroad,E-Commerce,Retail,Bengaluru,"Korea Ivestmet Parters, Vertex Vetures",Series B,11500,1012000,No Remark,Tier 1 India,2,1
93,31-05-2019,Bira91,Food And Beverage,Brewery,New Delhi,Sixth Sese Vetures,Series B,5600,492800,No Remark,Tier 1 India,1,1
94,16-04-2019,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000,3960000,No Remark,Tier 1 India,1,1
95,12-04-2019,Medlife,E-Commerce,Online Medicine,Bengaluru,Prasid Uo Family Trust,Private Equity,17000,1496000,No Remark,Tier 1 India,1,1
96,10-04-2019,Kabadiwala,E-Commerce,Waste Management,Bhopal,"Uilever, Beehive Capital Advisor, ABCOM Ivestmets, Parekh Marie Trasport,",Private Equity,430.66,37898.08,No Remark,Tier 2/3 India,4,0
97,13-04-2019,Tripoto,Social Media,Travel,New Delhi,"Orchid Idia, Horbill Orchid Idia Fud, Chiratae Vetures (formerly IDG Vetures), 3oe4 Capital, Lasmer NV",Series B,3591.38,316041.44,No Remark,Tier 1 India,5,1
98,12-04-2019,Azah,Health & Wellness,Organic wellness,Gurgaon,Uamed agel ivestors,Seed Funding,200,17600,No Remark,Tier 1 India,1,0
99,11-04-2019,Setu,Fintech,Banking,Bengaluru,Lightspeed Idia Parters,Seed Funding,3500,308000,No Remark,Tier 1 India,1,1
100,10-04-2019,Toppr,Edtech,E-learning,Mumbai,Milestoe,Debt Funding,6320.82,556232.16,No Remark,Tier 1 India,1,1
101,10-04-2019,Craftsvilla,E-Commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443.5,215028,No Remark,Tier 1 India,1,1
102,10-04-2019,Unacademy,Edtech,E-learning,Bengaluru,Kalya Krishamurthy,Seed/ Angel Funding,307,27016,No Remark,Tier 1 India,1,0
103,11-04-2019,Clevertap,Saas,Mobile analytics and marketing,Mumbai,"Sequoia Idia, Tiger Global Maagemet, Accel Parters",Series B,26000,2288000,No Remark,Tier 1 India,3,1
104,19-04-2019,My Healthcare,E-Commerce,Software Solutions,Bengaluru,Sixth Sese Vetures,Series A,3000,264000,No Remark,Tier 1 India,1,1
105,19-04-2019,Krazybee,E-Commerce,Lending Platform,Bengaluru,"BAC Acquisitios, Uifi AIF, BRD Securities, Norther R Capital",Debt Funding,14342,1262096,No Remark,Tier 1 India,4,1
106,17-04-2019,Shuttl,Transportation,Bus Aggregation,Gurgaon,New Atlatic Vetures,Venture Round,5000,440000,No Remark,Tier 1 India,1,1
107,17-04-2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Biy Basal",Series A,3000,264000,No Remark,Tier 1 India,2,1
108,08-02-2019,Zilingo,E-Commerce,Fashion & Apparel,India,"Sequoia Capital ad Temasek Holdigs, EDBI, Burda Pricipal Ivestmets, ad Sofia",Series D,226000,19888000,No Remark,Other,4,1
109,13-02-2019,Nanoclean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVeture, PitchRight Veture, 91SprigBoard, AL Nour Iteratioal Holdigs ad Mark V Ivestmets",Series A,600,52800,No Remark,Tier 1 India,4,0
110,14-02-2018,Oyorooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxig,Equity Funding,100000,8800000,No Remark,Tier 1 India,1,1
111,03-01-2019,Cardekho,Automobile,Online Marketplace,Jaipur,"Sequoia Idia, Hillhouse Capital, Alphabetxe2x80x99s growth ivestmet arm Capital G ad Axis Bak",Series C,110000,9680000,No Remark,Tier 2/3 India,3,1
112,04-01-2019,Vyome Therapeutics Inc.,Health & Wellness,Specialty pharmaceutical,India,"Iro Pillar, Perceptive Advisors, Romulus Capital ad Kalaari Capital",Series D,22000,1936000,No Remark,Other,3,1
113,04-01-2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch govermet fud",Debt-Funding,5000,440000,No Remark,Tier 1 India,2,1
114,04-12-2018,Manch,Social Media,Hyperlocal Content,New Delhi,Stellaris Veture Parters,Seed Funding,700,61600,No Remark,Tier 1 India,1,0
115,01-12-2018,Urbanclap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital ad Vy Capital.,Series D,50000,4400000,No Remark,Tier 1 India,1,1
116,02-12-2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Idividual Ivestors,Pre-Series A,800,70400,No Remark,Tier 1 India,1,0
117,02-12-2018,Career Anna,Edtech,"Video-based certification, trainings",Gurgaon,Idividual Ivestors,Pre-Series A,572,50336,No Remark,Tier 1 India,1,0
118,04-12-2018,Nagpur Wholesale,E-Commerce,eCommerce,Nagpur,Omphalos Vetures Idia LLP,Seed Funding,143,12584,No Remark,Tier 2/3 India,1,0
119,06-12-2018,Shopkirana,B2B,eCommerce,Indore,"Ifo Edge, AET Fud, Akatsuki ad Icubate Fud from Japa ad Better Capital AgelList sydicate.",Seed Funding,2000,176000,No Remark,Tier 2/3 India,3,1
120,06-12-2018,Buildsupply,Saas Ecommerce,"Real Estate, ERP",Gurgaon,"Veture Highway, GREE Vetures, Space Matrix, Idividual Ivestors",Series A,3500,308000,No Remark,Tier 1 India,4,1
121,01-11-2018,Godesi,Food And Beverage,Regional Flavours,Bengaluru,Lead Agels Network,Seed/ Angel Funding,139,12232,No Remark,Tier 1 India,1,0
122,03-11-2018,Veritas Finance Ltd.,Nbfc,MSME Finance,Chennai,"Norwest Veture Parters, CDC Group, the UKxe2x80x99s Developmet Fiace Istitutio ad P Suredra Pai",Series D,27799,2446312,No Remark,Tier 1 India,3,1
123,06-11-2018,Meesho,E-Commerce,Social Commerce,Bengaluru,"Shuwei Capital, DST Parters ad RPS Vetures",Series C,50000,4400000,No Remark,Tier 1 India,2,1
124,08-11-2018,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Udisclosed,Series A,500,44000,No Remark,Tier 1 India,1,0
125,08-11-2018,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Ivestmets, Sigapore",Equity Funding,1000,88000,No Remark,Tier 2/3 India,2,0
126,12-11-2018,Blackbuck,Food Tech,POS For Online Ordering,New York,Tiger Global,Series A,1000,88000,No Remark,Tier 1 International,1,0
127,12-11-2018,Milkbasket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fud,Series B,1300,114400,No Remark,Tier 1 India,1,1
128,13-11-2018,Driveu,Transport,On-Demand Drivers,Bengaluru,Steves Creek Vetures,Mezzanine,1000,88000,No Remark,Tier 1 India,1,0
129,14-11-2018,Cleansecar,Services,Car Wash,Bengaluru,Veture Catalysts,Seed/ Angel Funding,500,44000,No Remark,Tier 1 India,1,0
130,19-11-2018,Automation Anywhere,Automation,Robotics,California,SoftBak Visio Fud,Series B,300000,26400000,No Remark,Other,1,1
131,20-11-2018,Healthifyme,Health & Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fud, VC Samsug NEXT, Chiratae Vetures, Ivetus Capital, Blume Vetures ad Iove Capital.",Series B,6000,528000,No Remark,Tier 1 India,5,1
132,21-11-2018,Genius Corner,Edtech,Personalized Learning,Noida,Idividual ivestors,Seed Funding,278,24464,No Remark,Tier 1 India,1,0
133,22-11-2018,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Isurace ad Auity Associatio (TIAA),Equity Based Funding,31000,2728000,No Remark,Tier 1 India,1,1
134,23-11-2018,Signzy,Fintech,Digital Onboarding Solution,Mumbai,"Stellaris Veture Parters ad Kalaari Capital, Raja Aada from Google, Dilip Khadwelwal from SAP Labs Idia, ad Amrish Rau from PayU Idia",Series A,3400,299200,No Remark,Tier 1 India,4,1
135,24-11-2018,Engineer.Ai,Software,AI Platform,India,"Lakestar ad Jugle Vetures, Softbakxe2x80x99s DeepCore.",Series A,29500,2596000,No Remark,Other,2,1
136,25-11-2018,Incred Finance,Finance,SME Lending,India,"Parago Parters, Idividual Ivestors",Private Equity,42000,3696000,No Remark,Other,2,1
137,25-11-2018,Roposo,Social Media,Video Sharing,New Delhi,Bertelsma Idia Ivestmets,Series B,1700,149600,No Remark,Tier 1 India,1,1
138,02-10-2018,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspia ad Hivos-Triodos Fud",Seed/ Angel Funding,11000,968000,No Remark,Tier 1 India,2,1
139,04-10-2018,Grover Zampa,Food,Wine,Mumbai,Ravi Viswaatha,Private Equity,8200,721600,No Remark,Tier 1 India,1,1
140,05-10-2018,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,3000,264000,No Remark,Tier 1 India,1,1
141,11-10-2018,Innov8,Real Estate,Co-Working,New Delhi,Credece Family Office,Pre-Series A,4000,352000,No Remark,Tier 1 India,1,1
142,12-10-2018,Blackbuck,Logistics,Largest Trucking Platform,Bengaluru,Sequoia Capital Idia,Private Equity,14680,1291840,No Remark,Tier 1 India,1,1
143,12-10-2018,Letstransport,Logistics,Book Trucks Online,Bengaluru,Fosu Iteratioal,Series C,12000,1056000,No Remark,Tier 1 India,1,1
144,01-09-2018,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fud, Sistema JSFC ad Tacam Ivestmet",Private Equity,35000,3080000,No Remark,Tier 1 India,2,1
145,03-09-2018,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global ad Lightspeed Veture Partersxe2x80x99 global fud.,Private Equity,225000,19800000,No Remark,Tier 1 India,1,1
146,03-09-2018,Daily Hunt,Consumer Internet,News and ebooks Mobile App\\\\xc2\\\\xa0,Bengaluru,Falco Edge,Private Equity,6390,562320,No Remark,Tier 1 India,1,1
147,04-09-2018,3Hcare,Health & Wellness,Healthcare Service Provider,New Delhi,Ukow,Seed / Angel Funding,1000,88000,No Remark,Tier 1 India,1,0
148,05-09-2018,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200,13833600,No Remark,Tier 1 India,1,1
149,06-09-2018,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tecet, Kalaari Capital ad Private equity firm Multiples Alterate Asset Maagemet",Private Equity,100000,8800000,No Remark,Tier 1 India,2,1
150,10-09-2018,Mamaearth,Health & Wellness,Online Marketplace For Mother and Babycare Products,Gurgaon,Stellaris Vetures & Others,Private Equity,4000,352000,No Remark,Tier 1 India,1,1
151,11-09-2018,Autogrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdigs Group, Iogy, xc3x98rstead, ad Teaska",Private Equity,32000,2816000,No Remark,Tier 1 India,4,1
152,11-09-2018,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,IoVe Capital,Debt Funding,5500,484000,No Remark,Tier 1 India,1,1
153,11-09-2018,Upwards,Fintech,Online Micro Lending Marketplace,Mumbai,"Shuwei Capital,Quotiet, Mayfield & Others",Private Equity,5000,440000,No Remark,Tier 1 India,3,1
154,12-09-2018,Kissht,Fintech,Online lending Platform,Mumbai,"Vertex Vetures Southeast Asia (SEA) ad Idia ad Sistema Asia Fud, Fosu RZ Capital, Vetureast, ad Ediya Parters.",Private Equity,30000,2640000,No Remark,Tier 1 India,4,1
155,01-08-2018,Dishq,Food Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliace, The Sydicate Fud, Sve Hese, Zeroth ad Artesia Veture Parters",Seed/ Angel Funding,400,35200,No Remark,Tier 1 India,5,0
156,02-08-2018,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi ad Sequoia Capital Idia,Private Equity,7000,616000,No Remark,Tier 1 India,1,1
157,03-08-2018,Ziffyhomes,Consumer Internet,Online Home Rental Marketplace,Gurgaon,Y Combiator,Private Equity,120,10560,No Remark,Tier 1 India,1,0
158,07-08-2018,My Omnamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Ukow,Seed/ Angel Funding,1000,88000,No Remark,Tier 1 India,1,0
159,07-08-2018,Shopx,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fug Strategic Holdigs,Private Equity,35000,3080000,No Remark,Tier 1 India,1,1
160,07-08-2018,Makemytrip,Consumer Internet,Online Travel Aggregator,Gurgaon,MakeMyTrip Limited,Private Equity,10000,880000,No Remark,Tier 1 India,1,1
161,08-08-2018,Hansel Io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Vetures,Seed/ Angel Funding,4000,352000,No Remark,Tier 1 India,1,1
162,08-08-2018,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital Idia Advisors, Accel Parters ad G Raghuada",Private Equity,12200,1073600,No Remark,Tier 1 India,2,1
